Friday,9:35 AM,203,Junior Jazz Solo,Fancy,Elite Dance of Tulsa
Friday,9:37 AM,204,Junior Contemporary Solo,Sirens,Premier Dance
Friday,9:40 AM,205,Junior Contemporary Solo,Nature of Daylight,High Pointe Performing Arts Studio
Friday,9:42 AM,206,Junior Contemporary Solo,Overflow,Elite Dance of Tulsa
Friday,9:45 AM,207,Junior Contemporary Solo,90 Days,Premier Dance
Friday,9:48 AM,208,Junior Jazz Solo,Pure Love,Premier Dance
Friday,9:50 AM,209,Junior Jazz Solo,Debut,Premier Dance
Friday,9:52 AM,210,Junior Jazz Solo,Glam,High Pointe Performing Arts Studio
Friday,9:55 AM,211,Junior Contemporary Solo,Rival,Elite Dance of Tulsa
Friday,9:57 AM,212,Junior Contemporary Solo,Fading Light,Premier Dance
Friday,10:00 AM,213,Junior Contemporary Solo,Engraved Herein,Elite Dance of Tulsa
Friday,10:02 AM,214,Junior Jazz Solo,Hello,Premier Dance
Friday,10:05 AM,215,Junior Lyrical Solo,The Grudge,High Pointe Performing Arts Studio
Friday,10:08 AM,216,Junior Contemporary Solo,Written On The Sky,Elite Dance of Tulsa
Friday,10:10 AM,217,Junior Contemporary Solo,Dissolving,Elite Dance of Tulsa
Friday,10:13 AM,218,Junior Contemporary Solo,The Seconds Between,Elite Dance of Tulsa
Friday,10:15 AM,219,Junior Jazz Solo,Scheibe,Premier Dance
Friday,10:18 AM,220,Junior Jazz Solo,Everlasting Love,High Pointe Performing Arts Studio
Friday,10:20 AM,221,Junior Jazz Solo,Din Daa Daa,Elite Dance of Tulsa
Friday,10:23 AM,222,Junior Contemporary Solo,SCRATCH,Premier Dance
Friday,10:25 AM,223,Junior Contemporary Solo,Thinking Of You,Elite Dance of Tulsa
Friday,10:28 AM,224,Junior Contemporary Solo,Black Clouds,Elite Dance of Tulsa
Friday,10:30 AM,225,Junior Contemporary Solo,How Will I Know,Elite Dance of Tulsa
Friday,10:33 AM,226,Mini Hip Hop Large Group,Divas,DV8 Dance Complex - DV8 The Company
Friday,10:36 AM,227,Mini Hip Hop Large Group,Let's Work,High Pointe Performing Arts Studio
Friday,10:39 AM,228,Mini Open Large Group,Big Bad Wolf,Premier Dance
Friday,10:42 AM,229,Junior Contemporary Solo,Dawning Of Spring,Elite Dance of Tulsa
Friday,10:44 AM,230,Junior Contemporary Solo,Left Out In The Open,Elite Dance of Tulsa
Friday,10:46 AM,231,Junior Contemporary Solo,Cells,The Pointe PAC
Friday,10:49 AM,232,Pro Reveler Contemporary Solo,The Colors Around Me,Theatre Arts
Friday,10:51 AM,233,Junior Broadway Solo,Evil Like Me,DV8 Dance Complex - DV8 The Company
Friday,10:53 AM,234,Junior Broadway Solo,I'm a Woman,Premier Dance
Friday,10:56 AM,235,Junior Broadway Solo,Take it On the Chin,Premier Dance
Friday,10:58 AM,236,Junior Broadway Solo,If My Friends Could See Me Now,High Pointe Performing Arts Studio
Friday,11:00 AM,237,Junior Broadway Solo,Big Time,High Pointe Performing Arts Studio
Friday,11:03 AM,238,Junior Open Solo,Inside the Dollhouse,Premier Dance
Friday,11:25 AM,239,Mini Jazz Solo,Let's Work,Premier Dance
Friday,11:27 AM,240,Mini Jazz Solo,Trouble,Premier Dance
Friday,11:29 AM,241,Mini Jazz Small Group,It's Tricky,High Pointe Performing Arts Studio
Friday,11:32 AM,242,Mini Tap Small Group,Happy Feet,Premier Dance
Friday,11:35 AM,243,Mini Tap Small Group,Get On Your Feet,High Pointe Performing Arts Studio
Friday,11:37 AM,244,Mini Contemporary Small Group,Cosmic Love,DV8 Dance Complex - DV8 The Company
Friday,11:40 AM,245,Mini Contemporary Large Group,Girls,Elite Dance of Tulsa
Friday,11:43 AM,246,Mini Lyrical Solo,Rise Up,Fayetteville Dance Company
Friday,11:45 AM,247,Mini Lyrical Solo,Welcome To Wonderland,Elite Dance of Tulsa
Friday,11:48 AM,248,Mini Lyrical Solo,Where I Stand,Thriller Dance Studio
Friday,11:50 AM,249,Mini Lyrical Small Group,You Raise Me Up,Premier Dance
Friday,11:53 AM,250,Mini Lyrical Small Group,Coat of Many Colors,DANCE est Joie
Friday,11:57 AM,251,Mini Lyrical Small Group,Your Song,DV8 Dance Complex - DV8 The Company
Friday,12:00 PM,252,Mini Lyrical Small Group,By My Side,DV8 Dance Complex - DV8 The Company
Friday,12:02 PM,253,Mini Lyrical Small Group,Over the Rainbow,River Valley Classical Ballet And Acrobatics
Friday,12:05 PM,254,RevKids Open Small Group,Paw Patrol,Premier Dance
Friday,12:08 PM,255,Mini Hip Hop Small Group,Girls in Pink,High Pointe Performing Arts Studio
Friday,12:10 PM,256,Junior Jazz Solo,You Don't Own Me,Elite Dance of Tulsa
Friday,12:13 PM,257,Junior Tap Solo,9 to 5,Premier Dance
Friday,12:15 PM,258,Junior Tap Solo,Break My Soul,Premier Dance
Friday,12:18 PM,259,Junior Tap Solo,Photograph,High Pointe Performing Arts Studio
Friday,12:20 PM,260,Mini Open Small Group,You Took My Look,Premier Dance
Friday,12:23 PM,261,Mini Hip Hop Small Group,Stayin' Alive,DANCE est Joie
Friday,12:26 PM,262,Mini Open Small Group,Species,DV8 Dance Complex - DV8 The Company
Friday,12:28 PM,263,Junior Tap Solo,Absolutely Smitten,High Pointe Performing Arts Studio
Friday,12:31 PM,264,Junior Tap Solo,Firework,High Pointe Performing Arts Studio
Friday,12:33 PM,265,Junior Tap Solo,I Lived,High Pointe Performing Arts Studio
Friday,12:36 PM,266,Junior Tap Solo,Everything Goes With Blue,Elite Dance of Tulsa
Friday,12:38 PM,267,Mini Jazz Small Group,Funkytown,High Pointe Performing Arts Studio
Friday,12:40 PM,268,Junior Lyrical Solo,Concrete Angel,DANCE est Joie
Friday,12:43 PM,269,Junior Lyrical Solo,Million to One,Radiant Dance Studio
Friday,12:46 PM,270,Mini Jazz Small Group,Crush On You,Premier Dance
Friday,12:48 PM,271,Mini Jazz Small Group,Pink Cadillac,Premier Dance
Friday,12:51 PM,272,Mini Jazz Small Group,Never Looked So Good,DV8 Dance Complex - DV8 The Company
